نوع البطولة ,الفريق الأول ,التاني الفريق,ميعاد المباراة ,النتيجة 
الدوري الإنجليزي,مانشستر يونايتد,فولهام,22:00,- - -
الدوري الإنجليزي,سيلتا فيجو,ألافيس,20:00,- - -
الدوري الإنجليزي,لاس بالماس,اشبيلية,22:30,- - -
الدوري الإنجليزي,سموحة,الإسماعيلي,21:00,- - -
الدوري الإنجليزي,لوهافر,باريس سان جيرمان,21:45,- - -
الدوري الإنجليزي,أولم 1846,بايرن ميونيخ,21:45,- - -
الدوري الإنجليزي,نادي كيتارا,الهلال الليبي,20:00,- - -
الدوري الإنجليزي,قونيا سبور,جالاتا سراي,21:00,- - -
الدوري الإنجليزي,ام صلال,الشمال,18:30,0 - 0
الدوري الإنجليزي,الدحيل,الريان,20:30,- - -
الدوري الإنجليزي,سانتا كلارا,بورتو,19:00,- - -
الدوري الإنجليزي,جل فيسنتي,اي في اس فوتبول,22:15,- - -
الدوري الإسباني,مانشستر يونايتد,فولهام,22:00,- - -
الدوري الإسباني,سيلتا فيجو,ألافيس,20:00,- - -
الدوري الإسباني,لاس بالماس,اشبيلية,22:30,- - -
الدوري الإسباني,سموحة,الإسماعيلي,21:00,- - -
الدوري الإسباني,لوهافر,باريس سان جيرمان,21:45,- - -
الدوري الإسباني,أولم 1846,بايرن ميونيخ,21:45,- - -
الدوري الإسباني,نادي كيتارا,الهلال الليبي,20:00,- - -
الدوري الإسباني,قونيا سبور,جالاتا سراي,21:00,- - -
الدوري الإسباني,ام صلال,الشمال,18:30,0 - 0
الدوري الإسباني,الدحيل,الريان,20:30,- - -
الدوري الإسباني,سانتا كلارا,بورتو,19:00,- - -
الدوري الإسباني,جل فيسنتي,اي في اس فوتبول,22:15,- - -
الدوري المصري,مانشستر يونايتد,فولهام,22:00,- - -
الدوري المصري,سيلتا فيجو,ألافيس,20:00,- - -
الدوري المصري,لاس بالماس,اشبيلية,22:30,- - -
الدوري المصري,سموحة,الإسماعيلي,21:00,- - -
الدوري المصري,لوهافر,باريس سان جيرمان,21:45,- - -
الدوري المصري,أولم 1846,بايرن ميونيخ,21:45,- - -
الدوري المصري,نادي كيتارا,الهلال الليبي,20:00,- - -
الدوري المصري,قونيا سبور,جالاتا سراي,21:00,- - -
الدوري المصري,ام صلال,الشمال,18:30,0 - 0
